animal	sexo	controle	idade	peso
154	1	13	77	2075
154	1	14	84	2330
155	1	1	0	46
155	1	2	1	57
155	1	4	14	208
155	1	5	21	427
155	1	6	28	751
155	1	7	35	1168
155	1	8	42	1400
155	1	9	49	1795
155	1	10	56	2140
155	1	11	63	2325
155	1	12	70	2620
155	1	13	77	3000
155	1	14	84	3390
156	2	1	0	48
156	2	2	1	58
156	2	4	14	202
156	2	5	21	360
156	2	6	28	548
156	2	7	35	708
156	2	8	42	840
156	2	9	49	1035
156	2	10	56	1185
156	2	11	63	1845
156	2	12	70	1290
156	2	13	77	1335
156	2	14	84	1385
157	1	1	0	41
157	1	2	1	49
157	1	3	7	102
157	1	4	14	212
157	1	5	21	258
157	1	6	28	298
157	1	7	35	373
157	1	8	42	740
157	1	9	49	972
157	1	10	56	1325
157	1	11	63	1600
157	1	12	70	1980
157	1	13	77	2375
157	1	14	84	2430
157	1	15	90	2720
158	1	1	0	33
158	1	2	1	44
158	1	3	7	118
158	1	4	14	192
158	1	5	21	265
158	1	6	28	373
158	1	7	35	523
158	1	8	42	980
158	1	9	49	1204
158	1	10	56	1460
158	1	11	63	1660
158	1	12	70	2020
158	1	13	77	2335
158	1	14	84	2054
158	1	15	90	2625
159	2	1	0	48
159	2	2	1	63
159	2	4	14	169
159	2	5	21	333
159	2	6	28	530
159	2	7	35	751
159	2	8	42	855
159	2	9	49	1075
159	2	10	56	1220
159	2	11	63	1495
159	2	12	70	1395
159	2	13	77	1425
159	2	14	84	1520
160	2	1	0	39
160	2	2	1	59
160	2	4	14	201
160	2	5	21	378
160	2	6	28	568
160	2	7	35	789
160	2	8	42	930
160	2	9	49	1145
160	2	10	56	1310
160	2	11	63	1605
160	2	12	70	1480
160	2	13	77	1530
160	2	14	84	1630
161	1	1	0	38
161	1	2	1	51
161	1	4	14	145
161	1	5	21	268
161	1	6	28	483
161	1	7	35	749
161	1	8	42	945
161	1	9	49	1310
161	1	10	56	1655
161	1	11	63	2250
161	1	12	70	2240
161	1	13	77	2465
161	1	14	84	2650
162	1	1	0	38
162	1	2	1	48
162	1	4	14	119
162	1	5	21	230
162	1	6	28	382
162	1	7	35	658
162	1	8	42	815
162	1	9	49	1120
162	1	10	56	1320
162	1	11	63	1785
162	1	12	70	1815
162	1	13	77	2115
162	1	14	84	2405
163	1	1	0	37
163	1	2	1	52
163	1	4	14	155
163	1	5	21	328
163	1	6	28	577
163	1	7	35	841
163	1	8	42	1035
163	1	9	49	1350
163	1	10	56	1600
163	1	11	63	2085
163	1	12	70	2020
163	1	13	77	2225
163	1	14	84	2475
168	2	1	0	40
168	2	2	1	45
168	2	3	7	78
168	2	4	14	215
168	2	5	21	385
168	2	6	28	610
168	2	7	35	790
168	2	8	42	949
168	2	9	49	1190
168	2	10	56	1454
168	2	11	63	1610
168	2	12	70	1680
168	2	13	77	1715
168	2	14	84	1745
168	2	15	90	1755
169	2	1	0	42
169	2	2	1	46
169	2	3	7	72
169	2	4	14	189
169	2	5	21	385
169	2	6	28	606
169	2	7	35	851
169	2	8	42	987
169	2	9	49	1265
169	2	10	56	1533
169	2	11	63	1690
169	2	12	70	1720
169	2	13	77	1750
169	2	14	84	1770
169	2	15	90	1830
170	1	1	0	53
170	1	2	1	57
170	1	3	7	86
170	1	4	14	231
170	1	5	21	428
170	1	6	28	743
170	1	7	35	993
170	1	8	42	1515
170	1	9	49	1870
170	1	10	56	2320
170	1	11	63	2505
170	1	12	70	2415
170	1	13	77	2810
170	1	14	84	2935
170	1	15	90	3035
171	2	1	0	41
171	2	2	1	45
171	2	3	7	71
171	2	4	14	186
171	2	5	21	368
171	2	6	28	571
